code,name,gender,function,category,country_code,country,country_full,disciplines,events
1533246,PEDRERO OFELIA,Female,Coach,C,MEX,Mexico,Mexico,Artistic Swimming,Team
1535775,RADHI SHENAISHIL,Male,Head Coach,C,IRQ,Iraq,Iraq,Football,Men
1536055,AFLAKIKHAMSEH MAJID,Male,Coach,C,IRI,IR Iran,Islamic Republic of Iran,Taekwondo,
1536059,YOUSEFY MEHRDAD,Male,Coach,C,IRI,IR Iran,Islamic Republic of Iran,Taekwondo,
1536060,MADDAH MINOO,Female,Coach,C,IRI,IR Iran,Islamic Republic of Iran,Taekwondo,
1536328,LOFTUS ADRIANA,Female,Coach,C,MEX,Mexico,Mexico,Artistic Swimming,Team
1538313,FERRARA FERNANDO,Male,Head Coach,C,ARG,Argentina,Argentina,Hockey,
1538315,GULLA ALEJANDRA,Female,Assistant Coach,C,ARG,Argentina,Argentina,Hockey,Women
1538317,CAPURRO SANTIAGO,Male,Assistant Coach,C,ARG,Argentina,Argentina,Hockey,
1538745,RONCONI MARIANO,Male,Head Coach,C,ARG,Argentina,Argentina,Hockey,
1538748,PAULON EZEQUIEL,Male,Assistant Coach,C,ARG,Argentina,Argentina,Hockey,
1538751,VILA MATIAS,Male,Assistant Coach,C,ARG,Argentina,Argentina,Hockey,
1539598,KHEIRKHAH HAJIRASOULIAN MOHAMMADRE.,Male,Coach,C,IRI,IR Iran,Islamic Republic of Iran,Artistic Gymnastics,
1540258,DAVIS DIAZ DAVID,Male,Coach,C,MEX,Mexico,Mexico,Taekwondo,
1540259,MENDOZA MORA ABEL,Male,Coach,C,MEX,Mexico,Mexico,Taekwondo,
1540260,VICTORIA ESPINOSA DE LOS ALFONSO,Male,Coach,C,MEX,Mexico,Mexico,Taekwondo,
1540522,MILANO GUILLERMO,Male,Head Coach,C,ARG,Argentina,Argentina,Handball,Men
1540638,GOMEZ CORA SANTIAGO,Male,Head Coach,C,ARG,Argentina,Argentina,Rugby Sevens,Men
1540639,GRAVANO LEONARDO,Male,Assistant Coach,C,ARG,Argentina,Argentina,Rugby Sevens,Men
1540840,FILIORIANU ANA LUIZA,Female,Coach,C,ROU,Romania,Romania,Rhythmic Gymnastics,
1542341,SMAILI BADR,Male,Coach,C,MAR,Morocco,Morocco,Taekwondo,
1542904,OCEGUERA ORNELAS PAVEL,Male,Coach,C,MEX,Mexico,Mexico,Artistic Gymnastics,
1542908,VALENZUELA GOMEZ MARIA,Female,Coach,C,MEX,Mexico,Mexico,Artistic Gymnastics,
1542913,MEZA PADILLA JOSE,Male,Coach,C,MEX,Mexico,Mexico,Artistic Gymnastics,
1542973,AGUILAR ROJAS BLAJAITH,Female,Coach,C,MEX,Mexico,Mexico,Rhythmic Gymnastics,
1542976,FURALEV VLADISLAV,Male,Coach,C,MEX,Mexico,Mexico,Rhythmic Gymnastics,
1543567,UPTON PATRICK ANTHONY HOWARD,Male,Coach,C,IND,India,India,Hockey,
1543570,SCHOPMAN JOHANNA DOROTHEA MARIA,Female,Coach,C,IND,India,India,Hockey,
1543575,HALKETT RHETT KENNEDY,Male,Assistant Coach,C,IND,India,India,Hockey,
1543576,FULTON CRAIG ARTHUR,Male,Head Coach,C,IND,India,India,Hockey,
1543577,FARRY ANTHONY JAMES,Male,Coach,C,IND,India,India,Hockey,
1544157,THORPE KAREN,Female,Coach,C,GBR,Great Britain,Great Britain,Artistic Swimming,Duet
1544158,TOMOMATSU YUMIKO,Female,Coach,C,GBR,Great Britain,Great Britain,Artistic Swimming,Duet
1544489,CURRAN ORLAITH,Female,Assistant Coach,C,IRL,Ireland,Ireland,Rugby Sevens,Women
1545106,NASKAR ARUP,Male,Coach,C,IND,India,India,Hockey,
1545139,CHINNASAMY ASHOK KUMAR,Male,Coach,C,IND,India,India,Hockey,
1545947,BUSNARI ALBERTO,Male,Coach,C,ITA,Italy,Italy,Artistic Gymnastics,
1545949,COCCIARO GIUSEPPE,Male,Coach,C,ITA,Italy,Italy,Artistic Gymnastics,
1545950,FORTUNA MARCO,Male,Coach,C,ITA,Italy,Italy,Artistic Gymnastics,
1545955,BERGAMELLI MONICA ROBERTA,Female,Coach,C,ITA,Italy,Italy,Artistic Gymnastics,
1546310,CHIRILCENCO MARC MICHEL,Male,Coach,C,ALG,Algeria,Algeria,Artistic Gymnastics,
1546312,HAMICI SAAD EDDINE,Male,Coach,C,ALG,Algeria,Algeria,Artistic Gymnastics,
1546698,HERRANZ MARTIN MIGUEL ANGEL,Male,Coach,C,ESP,Spain,Spain,Taekwondo,
1546699,RAMAL MUNOZ JESUS,Male,Coach,C,ESP,Spain,Spain,Taekwondo,
1546700,SEIJO GIEBELS CHRISTIAN JAIME,Male,Coach,C,ESP,Spain,Spain,Taekwondo,
1546701,TOLEDO AROCA ANTONIO,Male,Coach,C,ESP,Spain,Spain,Taekwondo,
1546702,YAGUE ENRIQUE BRIGIDA,Female,Coach,C,ESP,Spain,Spain,Taekwondo,
1548427,JONES GILMAR,Male,Coach,C,SUR,Suriname,Suriname,Taekwondo,
1548848,DIMITROVA VESELA,Female,Coach,C,BUL,Bulgaria,Bulgaria,Rhythmic Gymnastics,
1548875,STOYNEVA YASENA,Female,Coach,C,BUL,Bulgaria,Bulgaria,Rhythmic Gymnastics,
1548895,MARKOVA BRANIMIRA,Female,Coach,C,BUL,Bulgaria,Bulgaria,Rhythmic Gymnastics,
1548902,PAMUKOVA MARIYANA,Female,Coach,C,BUL,Bulgaria,Bulgaria,Rhythmic Gymnastics,
1548919,IVANOVA VALENTINA,Female,Coach,C,BUL,Bulgaria,Bulgaria,Rhythmic Gymnastics,
1549452,LEE EUI YONG,Male,Coach,C,GAM,Gambia,Gambia,Taekwondo,
1550038,ARILL SAMUEL,Male,Assistant Coach,C,PUR,Puerto Rico,Puerto Rico,Basketball,Women
1550039,MORALES OTERO CARLOS,Male,Assistant Coach,C,PUR,Puerto Rico,Puerto Rico,Basketball,Women
1550047,BATISTA GERARDO,Male,Coach,C,PUR,Puerto Rico,Puerto Rico,Basketball,Women
1550196,COTUTIU FLORIN,Male,Coach,C,ROU,Romania,Romania,Artistic Gymnastics,
1550198,JONES DAYMON,Male,Coach,C,ROU,Romania,Romania,Artistic Gymnastics,
1550199,KIENS PATRICK,Male,Coach,C,ROU,Romania,Romania,Artistic Gymnastics,
1550201,MOROSAN CORINA,Female,Coach,C,ROU,Romania,Romania,Artistic Gymnastics,
1550203,VOINEA CAMELIA,Female,Coach,C,ROU,Romania,Romania,Artistic Gymnastics,
1550267,BERBECAR MARIUS,Male,Coach,C,ROU,Romania,Romania,Artistic Gymnastics,
1552001,LIU TSUNG-TA,Male,Coach,C,TPE,Chinese Taipei,Chinese Taipei,Taekwondo,
1555083,GEORGALLAS IRODOTOS,Male,Coach,C,CYP,Cyprus,Cyprus,Artistic Gymnastics,
1555113,PETRIDIS PANAGIOTIS,Male,Coach,C,CYP,Cyprus,Cyprus,Artistic Gymnastics,
1555115,FLANNERY EIMEAR,Female,Assistant Coach,C,IRL,Ireland,Ireland,Rugby Sevens,Men
1555131,SHIPPI PANAYIOTIS,Male,Coach,C,CYP,Cyprus,Cyprus,Artistic Gymnastics,
1555182,TRIKOMITI CHRYSTALLENI,Female,Coach,C,CYP,Cyprus,Cyprus,Rhythmic Gymnastics,
1556249,DEACU GEORGE,Male,Assistant Coach,C,ROU,Romania,Romania,Water Polo,Men
1556255,RATH BOGDAN,Male,Head Coach,C,ROU,Romania,Romania,Water Polo,Men
1557013,ARIAS RAMON,Male,Coach,C,CHI,Chile,Chile,Taekwondo,
1559048,WIBERG JOHANNA,Female,Assistant Coach,C,SWE,Sweden,Sweden,Handball,Women
1559066,FORSBERG THOMAS,Male,Assistant Coach,C,SWE,Sweden,Sweden,Handball,Women
1559067,AXNER TOMAS,Male,Head Coach,C,SWE,Sweden,Sweden,Handball,Women
1560169,DIOVOL ALIOUNE,Male,Coach,C,SEN,Senegal,Senegal,Taekwondo,
1561282,DA ROCHA CRISTIANO,Male,Head Coach,C,BRA,Brazil,Brazil,Handball,Women
1561719,ALTENBURG VALENTIN,Male,Head Coach,C,GER,Germany,Germany,Hockey,
1561732,HENNING ANDRE,Male,Head Coach,C,GER,Germany,Germany,Hockey,
1561734,SCHMITZ JOHANNES,Male,Assistant Coach,C,GER,Germany,Germany,Hockey,
1561740,ARKELL ROBIN,Male,Coach,C,GER,Germany,Germany,Hockey,
1561741,GADEMAN PASHA,Male,Assistant Coach,C,GER,Germany,Germany,Hockey,
1562260,WEIDINGER MARKUS,Male,Coach,C,AUT,Austria,Austria,Taekwondo,
1562563,SOLBERG GLENN,Male,Head Coach,C,SWE,Sweden,Sweden,Handball,Men
1562564,SVENSSON TOMAS,Male,Assistant Coach,C,SWE,Sweden,Sweden,Handball,Men
1562566,APELGREN MICHAEL,Male,Assistant Coach,C,SWE,Sweden,Sweden,Handball,Men
1562778,TANKOUCHEV MILKO,Male,Coach,C,BUL,Bulgaria,Bulgaria,Artistic Gymnastics,
1562790,YANEV FILIP,Male,Coach,C,BUL,Bulgaria,Bulgaria,Artistic Gymnastics,
1562963,WINIARSKI MICHAL,Male,Head Coach,C,GER,Germany,Germany,Volleyball,Men
1562973,RANNER THOMAS,Male,Assistant Coach,C,GER,Germany,Germany,Volleyball,Men
1562974,POSMYK DOMINIK,Male,Assistant Coach,C,GER,Germany,Germany,Volleyball,Men
1563661,SALLAH MARIAMA M.,Female,Coach,C,GAM,Gambia,Gambia,Taekwondo,
1563956,TUMILTY MARK,Male,Head Coach,C,IRL,Ireland,Ireland,Hockey,
1563966,TOTH BALAZS,Male,Coach,C,GER,Germany,Germany,Taekwondo,
1564287,QUSAI MUNIR,Male,Assistant Coach,C,IRQ,Iraq,Iraq,Football,Men
1564321,CRUZ LOPEZ JOSE L,Male,Assistant Coach,C,PUR,Puerto Rico,Puerto Rico,Basketball,Men
1564323,COLON NELSON,Male,Coach,C,PUR,Puerto Rico,Puerto Rico,Basketball,Men
1564325,CRUZ RAFAEL,Male,Assistant Coach,C,PUR,Puerto Rico,Puerto Rico,Basketball,Men
1564413,BESHEER GAMAL,Male,Coach,C,EGY,Egypt,Egypt,Artistic Gymnastics,
1564469,MOHAMED AHMED,Male,Coach,C,EGY,Egypt,Egypt,Artistic Gymnastics,
1564470,ABDELMEGUID ZAKARIA,Male,Coach,C,EGY,Egypt,Egypt,Artistic Gymnastics,
1564477,MOHAMED MAYAR,Female,Coach,C,EGY,Egypt,Egypt,Rhythmic Gymnastics,
1564481,HUSSEIN NOHA,Female,Coach,C,EGY,Egypt,Egypt,Rhythmic Gymnastics,
1565043,MOUNDOUNGA KOMBILA STEPHANE,Male,Coach,C,GAB,Gabon,Gabon,Taekwondo,
1565143,MLADENOVA ALBENA,Female,Coach,C,AUT,Austria,Austria,Artistic Swimming,Duet
1565591,AL-ASSAF FARIS,Male,Coach,C,JOR,Jordan,Jordan,Taekwondo,
1565609,ALSADEQ YAZAN,Male,Coach,C,JOR,Jordan,Jordan,Taekwondo,
1565612,ALJALLAD RIHAM,Female,Coach,C,JOR,Jordan,Jordan,Taekwondo,
1565657,KRAVCHENKO SERGIY,Male,Assistant Coach,C,UKR,Ukraine,Ukraine,Football,
1565672,ROTAN RUSLAN,Male,Head Coach,C,UKR,Ukraine,Ukraine,Football,Men
1565759,SIREKANYAN GURGEN,Male,Coach,C,JOR,Jordan,Jordan,Artistic Gymnastics,
1566325,FREHSE GABRIELE,Female,Coach,C,AUT,Austria,Austria,Artistic Gymnastics,
1566746,SAHIN ALI,Male,Coach,C,TUR,Türkiye,Türkiye,Taekwondo,
1566749,TAZEGUL SERVET,Male,Coach,C,TUR,Türkiye,Türkiye,Taekwondo,
1567065,BABEL VINCENT,Male,Coach,C,SUR,Suriname,Suriname,Taekwondo,
1568152,GOKTEKIN YILMAZ,Male,Coach,C,TUR,Türkiye,Türkiye,Artistic Gymnastics,
1568153,NURI TUFAN,Male,Coach,C,TUR,Türkiye,Türkiye,Artistic Gymnastics,
1568648,GOJKOVIC VLADIMIR,Male,Head Coach,C,MNE,Montenegro,Montenegro,Water Polo,Men
1569994,TOMAS TONI,Male,Coach,C,GBR,Great Britain,Great Britain,Taekwondo,
1569995,LAURA VELJKO,Male,Coach,C,CRO,Croatia,Croatia,Taekwondo,
1569996,MESAROV DEJAN,Male,Coach,C,CRO,Croatia,Croatia,Taekwondo,
1572261,GALAMBOS BENCE,Male,Coach,C,HUN,Hungary,Hungary,Taekwondo,
1572269,MARTON LUANA,Female,Coach,C,HUN,Hungary,Hungary,Taekwondo,
1572364,SALIM GERGELY,Male,Coach,C,HUN,Hungary,Hungary,Taekwondo,
1572370,SALIM SHARIF GERGELY,Male,Coach,C,HUN,Hungary,Hungary,Taekwondo,
1572373,MIKKONEN SUVI,Female,Coach,C,HUN,Hungary,Hungary,Taekwondo,
1572650,ROUSSEAUX EMILE,Male,Head Coach,C,FRA,France,France,Volleyball,Women
1572652,ANDRE FELIX,Male,Assistant Coach,C,FRA,France,France,Volleyball,Women
1572654,GAUTHIER CHARLES,Male,Assistant Coach,C,FRA,France,France,Volleyball,Women
1573466,TOUPANE JEAN AIME,Male,Coach,C,FRA,France,France,Basketball,Women
1573467,MELAIN CATHERINE,Female,Assistant Coach,C,FRA,France,France,Basketball,Women
1573468,GAUTIER DAVID,Male,Assistant Coach,C,FRA,France,France,Basketball,
1573469,HALIN GREGORY,Male,Coach,C,FRA,France,France,Basketball,
1573470,LEONARD CHRISTOPHE,Male,Coach,C,FRA,France,France,Basketball,
1573668,COLLET VINCENT,Male,Coach,C,FRA,France,France,Basketball,Men
1573669,DONNADIEU PASCAL,Male,Assistant Coach,C,FRA,France,France,Basketball,Men
1573670,ATKINSON KENNY,Male,Assistant Coach,C,FRA,France,France,Basketball,Men
1573671,NELHOMME RUDDY,Male,Coach,C,FRA,France,France,Basketball,
1573672,GOMIS JOSEPH,Male,Coach,C,FRA,France,France,Basketball,
1574076,CIAMARRA ROBERTO,Male,Assistant Coach,C,FRA,France,France,Volleyball,Men
1574080,GEILER LOIC,Male,Assistant Coach,C,FRA,France,France,Volleyball,Men
1574082,GIANI ANDREA,Male,Head Coach,C,FRA,France,France,Volleyball,Men
1830240,WENG SHIH-HANG,Male,Coach,C,TPE,Chinese Taipei,Chinese Taipei,Artistic Gymnastics,
1835894,TSAI HENG-CHENG,Male,Coach,C,TPE,Chinese Taipei,Chinese Taipei,Artistic Gymnastics,
1878950,SANTARELLI DANIELE,Male,Head Coach,C,TUR,Türkiye,Türkiye,Volleyball,Women
1878952,FLISI DIEGO,Male,Assistant Coach,C,TUR,Türkiye,Türkiye,Volleyball,Women
1878956,ZOTTA ANDREA,Male,Assistant Coach,C,TUR,Türkiye,Türkiye,Volleyball,Women
1879044,VATANSEVER RECEP,Male,Assistant Coach,C,TUR,Türkiye,Türkiye,Volleyball,Women
1879645,DARET JEROME,Male,Head Coach,C,FRA,France,France,Rugby Sevens,Men
1879871,KRUMBHOLZ OLIVIER,Male,Head Coach,C,FRA,France,France,Handball,Women
1879872,GARDILLOU SEBASTIEN,Male,Assistant Coach,C,FRA,France,France,Handball,Women
1879875,LEYNAUD AMANDINE,Female,Assistant Coach,C,FRA,France,France,Handball,Women
1880219,GALKIN EVGENIY,Male,Coach,C,UZB,Uzbekistan,Uzbekistan,Artistic Gymnastics,
1880226,ABDUSAMATOV KHUSNIDDIN,Male,Coach,C,UZB,Uzbekistan,Uzbekistan,Artistic Gymnastics,
1880388,MWEMA KEVIN,Male,Head Coach,C,KEN,Kenya,Kenya,Rugby Sevens,Men
1880389,AMONDE ANDREW,Male,Assistant Coach,C,KEN,Kenya,Kenya,Rugby Sevens,Men
1880390,KISIA LOUIS,Male,Assistant Coach,C,KEN,Kenya,Kenya,Rugby Sevens,Men
1880620,HRUBESCH HORST,Male,Head Coach,C,GER,Germany,Germany,Football,Women
1880626,CARLSON BRITTA,Female,Assistant Coach,C,GER,Germany,Germany,Football,Women
1880629,FUCHS MICHAEL,Male,Goalkeeper Coach,C,GER,Germany,Germany,Football,Women
1880639,NOERENBERG THOMAS,Male,Assistant Coach,C,GER,Germany,Germany,Football,Women
1880657,MUKHAMEDOVA RANO,Female,Coach,C,UZB,Uzbekistan,Uzbekistan,Rhythmic Gymnastics,
1880659,VLASOVA LILIYA,Female,Coach,C,UZB,Uzbekistan,Uzbekistan,Rhythmic Gymnastics,
1887640,KHAN PAVEL,Male,Coach,C,UZB,Uzbekistan,Uzbekistan,Taekwondo,
1887642,RAFALOVICH MAKSIM,Male,Coach,C,UZB,Uzbekistan,Uzbekistan,Taekwondo,
1887644,KHAN VLADIMIR,Male,Coach,C,UZB,Uzbekistan,Uzbekistan,Taekwondo,
1887648,BAYKUZIYEV JASUR,Male,Coach,C,UZB,Uzbekistan,Uzbekistan,Taekwondo,
1888131,PAKKAN SAIM,Male,Assistant Coach,C,SRB,Serbia,Serbia,Volleyball,Women
1888241,NISHIIRI TOSHIHIRO,Male,Goalkeeper Coach,C,JPN,Japan,Japan,Football,
1888242,IKEDA FUTOSHI,Male,Head Coach,C,JPN,Japan,Japan,Football,Women
1888246,MIYAMOTO TOMOMI,Female,Assistant Coach,C,JPN,Japan,Japan,Football,
1888338,MENEZES JUDE,Male,Head Coach,C,JPN,Japan,Japan,Hockey,
1888344,OZAWA KAZUYUKI,Male,Assistant Coach,C,JPN,Japan,Japan,Hockey,
